stateFlagCode,state,PublicSchoolRankingsOverallRank_2024,US_News_Best_States_Education
,Massachusetts,1,2
,New York,2,8
,New Jersey,3,1
,Washington,4,31
,Pennsylvania,5,19
,Vermont,6,12
,Minnesota,7,13
,Connecticut,8,3
,Virginia,9,10
,Wisconsin,10,7
,Wyoming,11,14
,Maryland,12,21
,Maine,13,36
,Nebraska,14,17
,Rhode Island,15,30
,New Hampshire,16,6
,Illinois,17,4
,South Dakota,18,20
,North Dakota,19,40
,Montana,20,28
,District of Columbia,21,
,Iowa,22,27
,Michigan,23,39
,Missouri,24,32
,Kentucky,25,26
,Ohio,26,15
,Alaska,27,49
,Tennessee,28,18
,Kansas,29,23
,Georgia,30,24
,Oregon,31,44
,California,32,38
,Hawaii,33,25
,North Carolina,34,16
,Colorado,35,9
,Delaware,36,42
,Utah,37,5
,South Carolina,38,41
,Mississippi,39,34
,Texas,40,29
,Florida,41,22
,Louisiana,42,37
,Indiana,43,11
,Nevada,44,47
,Arkansas,45,33
,West Virginia,46,46
,Idaho,47,35
,Oklahoma,48,48
,New Mexico,49,50
,Alabama,50,43
,Arizona,51,45